id,ai_title,ai_turkish_title,ai_synopsis
83,Lost Scent,Yüzlesme,"A mysterious woman named Masal (Hande Doğandemir) decides to move back to a small town with a specific aim in mind. A place that is known for its flower cultivation and essence production, the town of Kalender has deep secrets that go back fifteen years for Masal.

She is determined to unfold them and avenge herself for what happened in her childhood. Accompanied by Ömer (Engin Öztürk), who is desperately in love with Masal, the story of retaliation has many twists and turns.

However, there is one thing for sure that nothing in the town will ever be the same. Directed by the veteran filmmaker Ömer Faruk Sorak, Lost Scent paints a picture of a highly-driven woman seeking vengeance on the road of redemption."
84,A Family Story,Bir Aile Hikayesi,"The Turkish remake of America TV Series, 'This Is Us,' which is a heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
85,Ruthless City,Zalim İstanbul,"Paths of two families cross through a deal made between a man and a woman. Although Agah (Fikret Kuşkan) and Seher (Deniz Uğur) originate from the same hometown, their lifestyle evolved in different directions over the years.

The Karaçay Family’s glamorous world that conceals a dirty old secret rocks the values and the lives of two families when the Yılmaz Family steps into their mansion. Members of both sides are put to a test by their sins in which they are not even aware of.

The journey from the Southeastern city of Antakya to the ruthless city of Istanbul is a story of fighting for existence. After their encounter, neither Agah nor Seher’s life is ever going to be the same."
86,"Rich Man, Poor Man",Zengin ve Yoksul,"Follows the stories of two different families residing in two different houses in the same İstanbul neighborhood, one side rich, the other barely making earns meet."
87,The Promise,Yemin,"Reyhan is a country girl, humble, kind and caring, who promises to marry the son of old family friend Hikmet, after he reveals a terminal diagnosis. Hikmet is worried about what will become of his family fortune if left to his frivolous son and greedy wife whose only concern is to cement her place among Istanbul’s high society.

Emir is the son in question, a rebel who prefers to take risks and fritter away his father’s hard earned money rather than work in the family business. He agrees to the marriage but with his own promise: he vows to make life miserable for Reyhan, to the extent that she will divorce him, proving to his father that he should be allowed to make his own decisions in life.

Yet as the torments begin, Emir starts to question why this innocent girl should suffer while it is his father that he wants to punish. And as he softens, Reyhan sees a gentler side to him, something that she finds impossible to resist."
88,As One Heart,Tek Yürek,"Tek Yürek is based on the true story of Halit, a Turkish ice hockey coach living in Canada with his family. One day, while he is driving, he has an accident and his wife dies.

Then he returns to Istanbul with his daughter and son, to start a new life. There he discovers an abandoned ice hockey rink and builds up his dreams.

He forces these six idle boys to form a ice hockey team although all they formed up until today is a criminal gang. However, since these boys lost all their hopes in life many years ago, they attempt to reject Halit’s offer for a sport they have never heard of before. Yet, Halit has no attempt of giving up and he never gives up until that day when his team won the European Championship. Tek Yürek is a journey to regain hope and motivation in life, and no matter how challenging things get, they will learn to overcome once they stand together for one."
89,Leke,Leke,"Yasemin grew up in the orphanage together with her 9-year-old brother Murat. Yasemin, who had to leave the orphanage when she was young, studied law and began working in an organization. She wants to full custody of her brother and to pay for surgery.

However, she experiences events that she does not expect. Cem is the older of two children of a wealthy family. Although Cem is a successful person in business life, he witnessed the fragmentation of his family in the past.

He is insecure towards women because of this trauma. Yasemin and Cem's life intersects one night, at an event hosted by an organization owned by Cem. Two broken hearts, two injured souls... A pure love that tries to grow among dark secrets, ambitions, intrigues... Will it win pride or love?"
90,Nöbet,Nöbet,"Follows the day-to-day struggles of a group of soldiers in the Söğüt police station in Hatay, as they defend their homeland against the terrorists and other traitorous tribes in the region."
91,Nest,Canevim,"Tells the story of love of a poor orphan man named Maraz Ömer and a poor woman named Ceylan. Two young people who plan marriage plans to work and earn money; Ömer works at the construction site in Kars.

Ceylan earns money by cleaning. Ceylan is abused by Taylan, a rich and spoiled young man, and the story begins."
92,Stellar Love,Afili Aşk,"Handsome and womanizer Kerem is the son of Yigiter Family who has one of the oldest textile businesses in Istanbul. With his creative mind, he made his family company the leader of the sector with a start-up as they were about to get out of date. He accomplishes it but he is still not a proper man in the eyes of his father. Because Kerem lives his life to the fullest by wining, dining, travelling and hanging out with as many girls as he can.

Ayşe, on the other hand, works at Kerem’s factory. She is a smart, beautiful and a bighearted girl who leads a boring, joyless life under the control of her two brothers, one of them is despotic while the other one is idle. Thus, her only hope is to marry her boyfriend Berk and leave this difficult life behind. However, her brothers want her to marry the rich boy of the neighbourhood Sabri, Ayşe tells Berk that they have to marry at once.

After learning about it, Berk disappears. While she is a kind, calm and naïve slum girl, Ayşe gets stabbed in the back by both her family and her boyfriend. So, for the first time in her life, she decides to do something for herself. Kerem has the biggest effect on Ayşe’s decision, but he is not aware of that he will be Ayşe’s victim at the same time. Ayşe becomes the playmaker of the game by making a move to bond each other for a lifetime, yet they don’t know it will get so complicated that they won’t be able to get out of it easily."
93,My Sweet Lie,Benim Tatlı Yalanım,"Nejat married Aylin, his first love from college, and together they had a baby named Kayra. One day, Aylin left her daughter and husband because of postpartum depression. Nejat became a single father. He tells “innocent” lies to his daughter about her mother’s absence, telling his daughter that her mother is in Africa to help children in need.

He supports his lie with many letters, supposedly written by Aylin, to make the story more convincing. One day he meets Suna, a woman who runs her family’s old-fashioned cafe in his local neighborhood. After several incidents, Suna visits Nejat’s flat. But when Kayra sees Suna, she thinks that Suna is her mother and that she has returned for Kayra’s sixth birthday.

Suna and Nejat cannot tell Kayra the truth, and they find themselves playing a game they do not want to play. Suna becomes a “hired” mother. This situation pushes Nejat and Suna into falling in love, and they slowly become a real family. But when Kayra’s estranged mother Aylin appears, they will have to face a whole new challenge."
94,Everywhere I Go,Her Yerde Sen,"Selin is an ambitious and hard working young woman who sees the pieces of her life falling into place when she finds the perfect little house to buy as her first property. Demir has already made a success of his career but is looking to move back to some home comforts after several years of traveling abroad, so he decides to buy the house he grew up in.

Unfortunately, though each believes they have found somewhere to call home, it turns out that they each own only half of the property, having bought from a family already at war over the house. As if suddenly sharing the house with an unwelcome stranger weren’t enough, when Selin gets to work she finds out that her company has been taken over by a new investor - Demir.

With the two not able to avoid each other in their private and professional lives, there is something else that they can’t avoid - the inevitable chemistry that builds between the passionate, handsome young businessman and the pretty, creative and talented architect. As tensions rise both in the workplace and at home, a romance starts to blossom in this charming romantic series that has been the hit of the season in Turkiye during the summer 2019."
95,Nobody Knows,Kimse Bilmez,"Sevda is young and beautiful girl who lives with her mother Hayriye, her father Koksal and her brother Sinan. She desires to be famous. Koksal's boss Uygar, has been in love with Sevda obsessively, and drags her family to a business failure in order to get her. Therefore Koksal wants Sevda to marry him. On the other hand, Sevda finds out that her brother is being taken hostage by the drug gang called ""Pilot"" She has to find money immediately and steals it from Uygar.

After she rescued her brother and running away from the police, she walks through the open window of a house on the street. This is the house of Ali, who is being respected by the whole neighborhood for the favors he did. After his parents' death Ali goes to orphanage with her brother Suleyman (Pilot). Soon after Suleyman runs away and he looses track of his brother. Ali, is discovered by his teachers with his superior intelligence and special abilities, goes through a special education and starts working for the state.

He loses his child because of the gang he uncovers. The truth that Ali does not know is that, the person who put the bomb in that car that caused the death of his child in this accident is Koksal. Ali destroys the entire gang, quits his job and starts to live a lonely life. At that night, he doesn't give Sevda away. Incidents get Ali and Pilot face to face as an enemy. After this point, Ali and Pilot, unaware that they are brothers, will begin to fight each other without knowing this fact. Ali and Sevda, completely opposite characters, will fall in love with each other irresistably and fight for their love."
96,Mucize Doktor,Mucize Doktor,"Ali is a young autistic savant medical school graduate who had a difficult upbringing. He is quite the genius, but has trouble communicating with people because of his condition. His biggest dream is to become a surgeon. Ali’s godfather, Adil is the chief physician at the Anka Private Hospital. When Ali ranks high in TUS, he wants to hire him as an assistant doctor to the surgeon unit of the hospital he is a chief physician of. However, Adil faces a huge resistance at the hospital. The other doctors do not believe that an autistic person can be a doctor, and are biased against him before they ever meet Ali. They fear that he will make many mistakes and jeopardize the clean sheet record of the great hospital. At last, Adil is left to hard-line these fears and says “Take him in for a six-month trial period, I will resign if he makes a single mistake” to the hospital board of directors.

And this way Ali is hired. Ali faces many challenges in this new world he enters. He heals many people, gets through crises, and saves lives thanks to his ingenuity. However, he also makes mistakes along the way due to his condition. And counsels are formed and investigations are conducted due to his mistakes. Ali falls prey to the head surgeon’s plot, who has his eye on the head physician title. On the other hand, he continues to battle his disability, and tries to learn how to communicate with people. He slowly begins to stand on his own two feet and learns what it means to be an individual. Ali doesn’t only learn how to be a surgeon in that hospital.

Ali finds friendship, brotherhood, and love too, in there. He struggles with these feelings has never been exposed to before at first. Then, like the rest of us, he learns to live with these feelings. He slowly establishes himself among the hospital staff. With his pure intensions, and his genuine influence, the hospital starts to evolve around him as well. Ali brings goodness to everything he comes to contact with. He doesn’t only heal people, but he also gives hope to them. The other doctors, the patients, the board of directors, and even those arrogant doctors at the hospital start to see the world from a different point of view with his influence. Lonesome and autistic Ali finds himself a new family. That massive hospital becomes a family around him. And just as he promised his younger brother who dies in his arms, he fulfills his dream and becomes a surgeon… Along with a husband, a younger brother, a son, a mentor, and a friend…"
97,North Star,Kuzey Yıldızı: İlk Aşk,"Follows the story of Kuzey, who after being abandoned by the mother of his three daughters, returns to his hometown, where his first love still resides."
98,Love That Makes You Cry,Aşk Ağlatır,"Ada was just a little girl when her mother died and her mean uncle agreed to take her in. Now she’s a 19 year-old young woman living in a remote village who has spent her whole life serving her uncle and invalid aunt. Even the wages from her day job go to support her uncle’s greed. Just when you think things can’t get any worse , they do.

First, she loses her purse, which contains the letter her mother wrote to Ada right before she died. Then her uncle sells her to a petty gangster who wants to make Ada his wife. A hitchhiker recovers Ada’s purse on his way back to Istanbul. It’s the hitchhiker’s friend, Yusuf, who discovers the letter and understands its significance.

Being an orphan himself, he decides to return the letter to Ada. Borrowing a truck from the company where he works as a mover, the young man drives overnight to Ada’s village, where he finds her working at the local market. Yusuf soon figures out that Ada is in desperate straits , and he tries to convince her that she doesn’t have to go along with her uncle’s plans. It’s only after a humiliating confrontation with her would-be fiancee, and then her uncle that Ada agrees to run away with Yusuf to Istanbul. Without even having shoes on her feet, this young village girl begins her life’s journey to the big city and a whole bunch of new sensations — love, courage, and tears."
99,The Boy,Çocuk,"Follows the stories of four different women as they navigate through motherhood. With the hopes that her son has a better future than she did, Akça gives up her son to Şule, the bride of a wealthy family.

Years later, Şule has a biological child of her own and begins treating her other son horribly. Akça returns after learning that her son is being maltreated by the bride who adopted him, unraveling the story in many unexpected ways."
100,Champion,Şampiyon,"When Kafkas is a promising young boxer, his life is turned upside down with the unfortunate incident and he leaves behind his career, saying goodbye to the ring. Years later, he will return to the ring for his son Günes and another shot at being great."
101,Melek: A Mother's Struggle,Benim Adım Melek,"Karadag Family and Sirhan Family have been close to each other over centuries. This story starts when Karadag Family’s daughter, a college freshman student Melek (Nehir Erdogan) and Sirhan Family’s son, a college senior student Halil (Kutsi) forced to get married by their families. Despite her unwillingness for this marriage, Melek cannot protest her father. Their traditions and culture stand on her way. On their engagement day, she elopes with Alpay (Kaan Cakir), the man she loves, to Berlin, Germany.

After this incident, the families never mention Melek’s name again. For Seyit Ali Karahan, his precious daughter is dead. Halil is the only one who cannot forget Melek… he has been carrying his feelings like a burden in his heart. Melek leaves everything behind to marry Alpay but things don’t work out as planned. Despite the years and three children, things start to shake between Melek and also she catches a fatal disease.

All difficulties hit her… her burden is too heavy to carry. She wants to talk Alpay about her disease and the problems between them. When she goes home, she faces the fact that Alpay divorced her and took their children’s custody. After losing everything, she decides to go back to her motherland to ask for her father’s forgiveness… To the man, she brought shame disgraced for all those years. She wants to entrust her kids to her father and gives her last breath… but she understands that motherhood is not about giving up, it is about living for her kids. MELEK “A Mother’s Struggle” is the tale of a woman who rebuilds her life with her kids and her family."
102,Bullet,Kurşun,"Orhan, who goes outside the law to find his father's killer, gets an unexpected answer from Fahri Önal and finds himself in a new adventure. The question ""Who killed my father?"" brings Orhan face to face with a name he never expected.

This name draws Leyla into the game and causes a conflict between Orhan and Leyla. The revelation of the killers of Orhan's father causes Kerim Pasha and Nuri Kargı to lose control, and their attempts to prevent Orhan cause new troubles for them.

Gülce, who cannot get over the pain of losing her husband, faces a new shock, as the little Ozan plays a key role in the villains' loss. Leyla, who has paid the price of being Nuri Kargı's daughter all her life, is now in danger of losing the man she loves. Leyla's fears are realized thanks to Orhan's efforts and dedication, and Orhan and Leyla embark on a new path together."
103,Gönül,Hatirla Gönül,"Gönül, who grew up in an orphanage and became a nurse, is preparing to marry the powerful and rich Tekin, the neurosurgeon of the same hospital, when she hears terrible allegations about him.

When she realizes that her fiancé is lying and decides not to marry him, she sees the side of Tekin and crosses paths with Yusuf, who wants to avenge the death of his son who died while running away from him. Drifting between the passionate love of two men, Gönül is caught in the middle of conflicts of interest and old enmities as her past haunts her."
104,Sisterhood,Sevgili Geçmiş,"Sevgili Geçmiş tells the story of Ipek, who is finalising her wedding plans when she is stunned to receive an anonymous letter telling her she has two sisters she never knew. The three agree to meet at the wedding.

But as Ipek’s new husband Tekin angrily loses control after the party, they strike a fatal blow to his head in a desperate scuffle. Suddenly, in the course of a couple of days, these three go from not knowing of each other’s existence, to being at the centre of a murder cover-up together. And their newly-formed sisterly bond is immediately put to the test."
105,Azize,Azize,"Melek is a young nurse with a destroyed family. Her father, a successful captain, was killed by a mafia family, the Alpan family, when she was a little girl.

She grew up in difficult conditions and planned revenge for those who killed her father and condemned her mother to a mental hospital, destroyed all of her life. She changes her identity, becomes Azize; then leaks into the Alpan family.

She will take family’s revenge by killing her father's killer and destroying this mafia family. But she will face an obstacle which she has completely excluded: Love…"
106,Yüksek Sosyete,Yüksek Sosyete,"Mert and Kerem are childhood friends from different ends of society whose lives, careers and love affairs are shaped by the pressures of wealth and poverty. Concealing their true identities, they learn through tumultuous romances whether love can overcome barriers of class and prosperity.

Mert is the spoilt son of a wealthy family, while Kerem is the only child of the family’s maid. Kerem is dutiful and determined, always helping his friend with homework and in fights.

Mert looks to shirk responsibility, seeking the easiest path to a comfortable life. After graduation, family responsibility weighs on Mert as his father demands he work in the family business if he wants to continue his luxury lifestyle. The family’s wealth is built on a chain of organic food shops. Mert is tasked with turning around the fortunes of a trouble store."
107,Wounded Love,Vatanim Sensin,"Wounded Love is the story of one of the most tragic heroes of his time; a hero who is condemned to face the ruination of his family while he can do nothing to stop.

A woman who is doomed to make a choice between her family and her repressed womanhood. A story of a nation's rebirth."
108,Ferhat and Şirin,Ferhat ile Şirin,"Ferhat, Şirin and Banu... None of them are aware of the whirlpool they are dragged into, where they will experience both miracle and curse of love...

Their story is the story of a legendary love... And in this story, it's impossible for everyone to be happy...

This love's biggest tragedy is that it rose from the ashes of another love that was wrapped in hate, pain and revenge from many years ago. As in the past, everything started with love – a wicked love – that took lives, messed up lives, broke families apart..."
109,The Ottoman,Kuruluş Osman,"The series focuses on the life of Osman Bey, the son of Ertuğrul Gazi and best known as ""the father of the Ottoman Empire."" The drama will shed light on Turkish history and how the Ottoman Empire was built."
110,Golden Cage,Güvercin,"Bedir Kavvi is released from prison after having served fifteen years for the murder of his close friend Ahmet Cibranoglu. He spent 15 years grieving the loss of his best friend, and being punished for a crime he did not commit, and his aim from now on is to carry on with his life with his daughter Zuluf, his son Muslum, and his wife. The news that Bedir was released from prison came as a bombshell at the mansion of the Cibranoglu family.

While Okkes, the younger son of the Cibranoglu family, swears to seek revenge on Bedir, Kenan (Mehmet Ali Nuroglu – Lifeline), who took control of the business and became the head of the family after his father Ahmet’s death, tries to dissuade him from doing so. However, there is a fact that is not known to either of these rival families: Muslum, the son of the Kavvi family, and Nefise, the daughter of the Cibranoglu family, have been in love with each other since high school. Thinking that their families would not allow them to get married, Muslum and Nefise elope, which once again pits the two families against each other.

The situation spirals out of control once Okkes gives chase to Muslum who eloped with Nefise. Burning with the desire for revenge, Okkes kidnaps Bedir’s daughter Zuluf and leaves her to die in the well like his father was pushed into a well 15 years ago. Now, it is Zuluf’s turn to await her death in this pitch-black well just like Okkeş’s dad had to do. If they do not bring Nefise back, he will make sure that Bedir has to endure the loss of his daughter just like how Okkes had to mourn the loss of his dad."
111,The Gift,Atiye,A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.
112,Dirilis: Ertugrul,Dirilis: Ertugrul,"Heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman State."
113,Second Chance,Kalbimdeki Deniz,"Second Chance is an ambitious and very successful new drama series, featuring some of Turkey’s biggest stars. The story focuses on an innocent woman, Deniz, who has everything in life that she could wish for - until her husband disappears without a trace.

After losing everything she has ever owned, she is left in dire straits and faces a daily struggle for survival, needing to fight for the sake of her children and elderly father. Eventually she meets Mirat, who turns out to be a life-saver.

Will hope – and courage – get her back her power? Will she be able to trust anyone? And will she find love once again? With powerful and emotional drama at its core, compelling characters and excellent storytelling with universal themes of love, loss and struggles for survival."
114,Hekimoglu,Hekimoğlu,"The Turkish version of the hit US scripted series “House M.D.” starring Timuçin Esen as Ateş Hekimoğlu, an anti-social, witty and acclaimed infectious diseases and nephrology physician."
115,The Ambassador's Daughter,Sefirin Kızı,"A famous love story along the Aegean Sea, Sefirin Kızı is about Nare, an ambassador’s daughter, and Sancar, a poor boy, and their love story that begins in childhood. After meeting in Bodrum one summer, for the next twelve years, the two only see each other for two weeks during summer holidays but write to each other every single day.

Years pass by and they find themselves separated because of family pressures and other tumultuous events. Despite all of these impossibilities, will our heroes succeed in rekindling their epic love once more? Or will their destiny change forever?"
116,Rise of Empires: Ottoman,Rise of Empires: Ottoman,Tells the epic story of Mehmed II known as Mehmed the Conqueror. It chronicles his astonishing and fabled rise from 13-year-old Child Sultan to toppling Constantinople and becoming the ruler of the Ottoman Empire in the 15th century.
117,"My Home, My Destiny",Doğduğun Ev Kaderindir,"Zeynep is born into a poor family and has few opportunities in life. Her father is an alcoholic, her mother weak and her brother dies due to lack of medical treatment.

Her fortunes change when the family that employs her mother as a cleaning lady offers to adopt the young girl. Her parents agree in the hope of giving their daughter a better life.

She will learn, be loved and be surrounded by beautiful things; but she always carry a feeling of not belonging. The poor and innocent Zeynep turns into a clever, educated and beautiful young woman, engaged to be married to a dream man from the top of society. However, this fairytale will come to a shocking end when her birth mother shows up, seeking to regain control of her daughter’s life and bring her back to the home where she was born."
118,Ramo,Ramo,"The series tells the extraordinary story of Ramo, inspired by a real person, a man who goes against his superiors… It’s a story that encompasses the deep conflicts of family, justice, revenge, friendship and love. The fuel theft gang, known for smuggling diesel fuel, works for a powerful family who runs the entire area.

The only thing they get in return is, as Ramo says, “bones given to dogs.” While the gang does the dirty work, Cengiz, the boss, gets all the money. Ramo, unable to accept the treatment that his family gets, decides to change the system no matter what it takes.

He raises riot flags with the first opportunity he gets, just like how his father did during his time. Ramo’s deepest wound is also the sole reason why he is ready to fight with everything he has. His war will not only be against his enemies, but also his family, friends and even himself and throughout all these tumultuous events, his biggest test is love as the only woman he will ever love is Sibel, the daughter of his arch nemesis."
119,Zemheri,Zemheri,"Firuze and Ayaz. Two good souls, two kids that carry a family burden. Fate brought them together, fate/sacrifice separated them. Now life owes them an apology.

Life wants to give back the love it has stolen from them. But the path is painful and rough. There’s a nip in the air, it’s winter. Firuze’s eyes are blue, her heart is burning.Firuze's father was falsely accused in the elevator accident that resulted with the deaths of thirteen construction workers.

This incident triggered Firuze who is righteous and fair. In this road she has taken to save her father; she meets Ayaz who steals her hopes and leaves without saying good-bye.Shouldering the responsibility of being the man of the house, Ayaz is still yearning for Firuze, who he had to sacrifice for the sake of his mother just when he was about to get married. He's not aware that he's playing a vital role in the accusation of Firuze's father. Firuze is not aware that some good-byes are caused by desperation not by lack of love. Ayaz doesn't know how many times love can be sacrificed!"
120,The Choice,Babil,"The life of İrfan, an idealist professor of economics in a state university, turns upside down when he wrongfully gets fired and his 7 year old son Deniz gets sick. All the doors get locked in his face one by one as he asks help from Egemen, him and his wife’s childhood friend; and he finds himself in a dark adventure he could never have imagined.

Encountering İlay, the love of his life who he broke up with when they were about to get married, as Süleyman’s mistress, will lead him to numerous challenges. Will Ayşe, the idealist young lady who he encounters during this adventure, become his savior?"
121,Tutunamayanlar,Tutunamayanlar,"Tarik, who has never worked in his life, falls in love with Irem in a job interview.

Having no place to go, Irem comes to the neighborhood where Tarik lives and starts to work at the book cafe in the neighborhood. Irem's dream is to be successful, to establish her own business and to return to her old days one day."
122,The Phoenix,Zümrüdüanka,"The beautiful Zümrüt strives to find love amid the jealousies and betrayals of the rich Demirkan family in this powerful and moving drama, set in a mansion rocked by murder, vengeance and passion. The beautiful Zümrüt carries the burden of looking after her sick father, her mother and two sisters by working for the powerful Demirkan family. In her quest for happiness, she must find a way through the deceptions, betrayals and secrets of the Demirkans’ world as she seeks a path towards love.

Adil Demirkan is in love Zümrüt, but she views him more like an older brother and is secretly in a relationship with his nephew Serhat. Zümrüt and Serhat are planning to marry after his military service. However, her world falls apart when she hears that he has died on active duty.

Believing him dead, Zümrüt can no longer resist the pressure from her mother to marry the wealthy Adil. But Serhat appears just as she and Adil make their wedding vows and there is a further twist of fate when Adil is killed by an unknown assailant on their wedding night. Zümrüt is now deeply resented by Serhat and discovers that Adil’s older brother wants her for himself. As she strives to survive amid the scheming and plotting in the Demirkan Mansion, she and Serhat will make discoveries which will transform how they view both those around them, and each other."
123,The Last Emperor,Payitaht Abdülhamid,"The story sheds light on the last 14-year reign of the strongest Ottoman Emperor in the 19th century, Abdulhamid Han. It is a real life story of a real Sultan. Abdulhamid Han was the most modern and innovator Sultan of all.

He had many projects concerning the future of his state. He even planned a Sub-sea Tunnel Project which was built in 2017. He was visionary and philanthropist.

However; due to traitors inside the palace and even in Abdulhamid’s own family it was becoming impossible to achieve these projects. The brave Sultan Abdulhamid, had truly harsh times trying to get rid of all this darkness and reach light. As the real story of real history, “The Last Emperor” is a unique work."
124,Grand Family,Eşkıya Dünyaya Hükümdar Olmaz,"This is the story of Hızır, one of the strongest member of the clique that smuggles weapons. After a while, he becomes the head of this clique and tries to manage his relationship with mafia, government and his family. Hızır wants to be in the center of attention of all the women in his life; of his mother, of his wife, his daughter and girlfriend... He also gives a lot of importance to his brother, to his son, to his nephew and to the other members of his family; he is a ""father figure"" for them...

On one hand, Hızır tries to hold the family together and maintain the balance, and on the other hand, he tries to survive without having to make a decision between his wife Meryem and his mistress. Hızır's big family has never-ending problems. İlyas, Hızır's brother, and his cousin Hatice, whom he calls his confidant, knew about the affair from the beginning. However neither of them told Meryem about it.

İlyas is in a relationship with step daughter of Ünal, who is Hızır's nemesis. Hızır's late brother's son, Alparslan, whom Hızır raised as his own son, is actually acting as a double agent. And Hızır's son Ömer acts like a bully at school, following his father's footsteps. While Hızır climbs to the top of the mafia world, he tries to protect his family but it won't be easy as he thinks..."
125,Magnificent Century,Muhteşem Yüzyıl,"At the age of 26, when he ascended to the throne, Sultan Suleiman aimed to build an empire more powerful than Alexander the Great and to render the Ottomans invincible. Throughout his 46-year reign, he became the greatest warrior and ruler of both East and West.

The young Suleiman received news of his succession to the throne during a hunting party in 1520. Unaware that he would be ruling a reign beyond his dreams, he left behind his wife son and took to the road with his close friend and companion Pargali Ibrahim to reach the Topkapi Palace in Istanbul.

As they started their journey overland, an Ottoman ship set sail from Crimea in the Black Sea, bringing female slaves as gifts for the Ottoman palace… On this ship was Alexandra La Rossa, the daughter of a Ukrainian Orthodox minister, taken away from her family and sold to the Crimean palace. She had no idea that she would become Hurrem, wife of Sultan Suleiman and mother of princes, ruling the empire with him through bloodshed and intrigue. As Sultan Suleiman conquered the world, his great passion for Hurrem would clash with his love for and trust in his closest friend and advisor, Grand Vizier Pargali Ibrahim, all set against the backdrop of the tension between Christian Europe and the Ottoman Empire in the 16th century."
126,Ezel,Ezel,"Ömer, a young man returning from military service, is set up by his friends and fiancé and ends up in prison for ten years.

He fakes his own death and manages to escape. He re-creates himself as ‘Ezel’, a high-end gambler who is outwardly a successful man, but inwardly driven by one thing - his determination to understand why the people he loved betrayed him, and take his revenge."
127,Adını Feriha Koydum,Adını Feriha Koydum,"A fairy tale based on white lies. This heart wrenching drama tells the dreams and desires of a young girl who got stuck between two worlds. Feriha is a girl who lives in a luxury neighbourhood.

Her father works as a janitor in an apartment block, where the block management provides the family a small apartment in the basement. Feriha is in the middle and away of a world where desires and opportunities are endless. Her dreams and reality will be mixed up when she attends a private university with full scholarship.

She quickly starts being the center of attention for the upper class in the university. Including Emir, who is a rich and handsome playboy! She wears her rich neighbour’s clothes, looks rich from outside but for how long she will be able to continue pretending to be rich? The beautiful daughter of a janitor will rise from her own world to a false world that she has built where she is the princess. Alas, this new world that she built will start to consume her and her family and also the real life struggles of the mother and the daughter will become a battle where there’s no return."
128,Iffet,İffet,"İffet’s dreams of marrying taxi driver Cemil fall in apart when he rapes her and weds another, but when she marries her wealthy boss in revenge, Cemil will do anything to win her back. Beautiful İffet’s stormy relationship with taxi driver Cemil leads her on a journey of love, passion and revenge. From her modest home with her father and sister in a down market Istanbul suburb, she rises to the top of the social ladder. But she cannot erase the powerful feelings from her past. İffet is deeply in love with the handsome Cemil , who works out of the local taxi station. She dreams that one day he will propose to her. But their relationship must remain a secret. She is brought up with strict moral values and her father forbids any relationship until she is married. Cemil comes up with endless excuses not to marry, whether a lack of money or the need to take care of his mother. In truth, Cemil does not want to marry İffet because he has bigger plans.

He dreams of becoming rich and leaving his run down neighborhood to live an exotic life elsewhere. İffet opens the door to another world when she begins work to save money for her future wedding. She gets a job as a housekeeper in the mansion of Ali İhsan Ersoy , one of the country’s most powerful businessmen. He lost his wife many years ago and never married again and lives with his neurotic sister. As their clandestine relationship develops, Cemil starts to pressure İffet to go to bed with him before they marry. For a traditional girl like İffet this is completely unacceptable. One fateful day at the wedding of her best friend Serpil, Cemil gets drunk and loses control. He rapes İffet For a time İffet tries to get over the trauma, keeping the attack secret in fear of her father’s reaction. She feels devastated and dishonored. Cemil begs for forgiveness and promises to marry her, soothing İffet’s pain.

Having discovered she is pregnant, his words give her hope that her honor can be saved. But those hopes are dashed by Betül , daughter of the taxi station owner. Cemil is duped by Betül and pressured into marrying her. As İffet’s world falls in on her, Cemil tries to explain that he was forced to go ahead because he needs money for his sick mother. With İffet already devastated by his decision, her troubles multiply as news of her pregnancy spreads. Her father is furious when he finds out and attacks İffet in the street, beating her up in front of neighbors. İffet vows to take revenge on Cemil for the suffering he has caused. Her chance emerges when the businessman Ali İhsan falls in love with her. Once married to him, İffet becomes wealthy and powerful. Devastated, Cemil is ready to do anything to win her back. İffet will have to resist the temptation."
129,Fatmagül'ün Suçu Ne?,Fatmagül'ün Suçu Ne?,"Fatmagul Sucu Ne (What is Fatmagul's Fault?) is a story based on novel. The series revolves around Fatmagul (Beren) and Kerim (Engin) who are the lead characters. Fatmagul who is a small town girl is raped one night by 3 guys under the influence of alcohol and drugs.

Kerim who is friends with Erdogan, Selim and Vurl is also present during this incident. Kerim has not taken any part in this but is feeling remorse as he was present during the incident. Later on the lawyer uncle and parents of rich guys pressurize Fatmagul to marry Kerim by bribing her sister in law.

Fatmagul has finance Mustafa who is after revenge on Fatmagul and Kerim. This makes the couple leave their hometown and come to Istanbul. The story revolves further when Kerim falls in love with Fatmagul and supports her in fight against her rapists."
130,Eternal,Ölene Kadar,"Love, betrayal, conscience and revenge intertwine and two people cross roads just when their lives get turned upside down.

Dağhan gets a life sentence after losing the best years of his life, his dreams, his future and the woman he desperately loves because of a crime he did not commit. Selvi, a lawyer trying to get rid of her ever-growing guilt, enters his life and tries to reverse his life sentence."
131,Wolf,Börü,"Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home."
